DD/MM/YYYY HH:MM:SS	light(lux)
02/08/2021 18:29:56	1.136
02/08/2021 18:34:56	1.136
02/08/2021 18:39:56	1.136
02/08/2021 18:44:56	1.136
02/08/2021 18:49:56	1.136
02/08/2021 18:54:56	1.136
02/08/2021 18:59:56	1.136
02/08/2021 19:04:56	1.136
02/08/2021 19:09:56	1.136
02/08/2021 19:14:56	1.136
02/08/2021 19:19:56	1.136
02/08/2021 19:24:56	1.136
02/08/2021 19:29:56	1.136
02/08/2021 19:34:56	1.136
02/08/2021 19:39:56	1.136
02/08/2021 19:44:56	1.136
02/08/2021 19:49:56	1.136
02/08/2021 19:54:56	1.136
02/08/2021 19:59:56	1.136
02/08/2021 20:04:56	1.136
02/08/2021 20:09:56	1.136
02/08/2021 20:14:56	1.136
02/08/2021 20:19:56	1.136
02/08/2021 20:24:56	1.136
02/08/2021 20:29:56	1.136
02/08/2021 20:34:56	1.136
02/08/2021 20:39:56	1.136
02/08/2021 20:44:56	1.136
02/08/2021 20:49:56	1.136
02/08/2021 20:54:56	1.136
02/08/2021 20:59:56	1.136
02/08/2021 21:04:56	1.136
02/08/2021 21:09:56	1.136
02/08/2021 21:14:56	1.136
02/08/2021 21:19:56	1.136
02/08/2021 21:24:56	1.136
02/08/2021 21:29:56	1.136
02/08/2021 21:34:56	1.136
02/08/2021 21:39:56	1.136
02/08/2021 21:44:56	1.136
02/08/2021 21:49:56	1.136
02/08/2021 21:54:56	1.136
02/08/2021 21:59:56	1.136
02/08/2021 22:04:56	1.136
02/08/2021 22:09:56	1.136
02/08/2021 22:14:56	1.136
02/08/2021 22:19:56	1.136
02/08/2021 22:24:56	1.136
02/08/2021 22:29:56	1.136
02/08/2021 22:34:56	1.136
02/08/2021 22:39:56	1.136
02/08/2021 22:44:56	1.136
02/08/2021 22:49:56	1.136
02/08/2021 22:54:56	1.136
02/08/2021 22:59:56	1.136
02/08/2021 23:04:56	1.136
02/08/2021 23:09:56	1.136
02/08/2021 23:14:56	1.136
02/08/2021 23:19:56	1.136
02/08/2021 23:24:56	1.136
02/08/2021 23:29:56	1.136
02/08/2021 23:34:56	1.136
02/08/2021 23:39:56	1.136
02/08/2021 23:44:56	1.136
02/08/2021 23:49:56	1.136
02/08/2021 23:54:56	1.136
02/08/2021 23:59:56	1.136
03/08/2021 00:04:56	1.136
03/08/2021 00:09:56	1.136
03/08/2021 00:14:56	1.136
03/08/2021 00:19:56	1.136
03/08/2021 00:24:56	1.136
03/08/2021 00:29:56	1.136
03/08/2021 00:34:56	1.136
03/08/2021 00:39:56	1.136
03/08/2021 00:44:56	1.136
03/08/2021 00:49:56	1.136
03/08/2021 00:54:56	1.136
03/08/2021 00:59:56	1.136
03/08/2021 01:04:56	1.136
03/08/2021 01:09:56	1.136
03/08/2021 01:14:56	1.136
03/08/2021 01:19:56	1.136
03/08/2021 01:24:56	1.136
03/08/2021 01:29:56	1.136
03/08/2021 01:34:56	1.136
03/08/2021 01:39:56	1.136
03/08/2021 01:44:56	1.136
03/08/2021 01:49:56	1.136
03/08/2021 01:54:56	1.136
03/08/2021 01:59:56	1.136
03/08/2021 02:04:56	1.136
03/08/2021 02:09:56	1.136
03/08/2021 02:14:56	1.136
03/08/2021 02:19:56	1.136
03/08/2021 02:24:56	1.136
03/08/2021 02:29:56	1.136
03/08/2021 02:34:56	1.136
03/08/2021 02:39:56	1.136
03/08/2021 02:44:56	1.136
03/08/2021 02:49:56	1.136
03/08/2021 02:54:56	1.136
03/08/2021 02:59:56	1.136
03/08/2021 03:04:56	1.136
03/08/2021 03:09:56	1.136
03/08/2021 03:14:56	1.136
03/08/2021 03:19:56	1.136
03/08/2021 03:24:56	1.136
03/08/2021 03:29:56	1.136
03/08/2021 03:34:56	1.136
03/08/2021 03:39:56	1.136
03/08/2021 03:44:56	1.136
03/08/2021 03:49:56	1.136
03/08/2021 03:54:56	1.136
03/08/2021 03:59:56	1.136
03/08/2021 04:04:56	1.136
03/08/2021 04:09:56	1.136
03/08/2021 04:14:56	1.136
03/08/2021 04:19:56	1.136
03/08/2021 04:24:56	1.136
03/08/2021 04:29:56	1.136
03/08/2021 04:34:56	1.136
03/08/2021 04:39:56	1.136
03/08/2021 04:44:56	1.136
03/08/2021 04:49:56	1.136
03/08/2021 04:54:56	1.136
03/08/2021 04:59:56	1.136
03/08/2021 05:04:56	1.136
03/08/2021 05:09:56	1.136
03/08/2021 05:14:56	1.136
03/08/2021 05:19:56	1.136
03/08/2021 05:24:56	1.136
03/08/2021 05:29:56	1.136
03/08/2021 05:34:56	1.136
03/08/2021 05:39:56	1.136
03/08/2021 05:44:56	1.136
03/08/2021 05:49:56	1.136
03/08/2021 05:54:56	1.136
03/08/2021 05:59:56	1.136
03/08/2021 06:04:56	1.136
03/08/2021 06:09:56	1.136
03/08/2021 06:14:56	1.136
03/08/2021 06:19:56	1.136
03/08/2021 06:24:56	1.136
03/08/2021 06:29:56	1.136
03/08/2021 06:34:56	1.136
03/08/2021 06:39:56	1.136
03/08/2021 06:44:56	1.136
03/08/2021 06:49:56	1.136
03/08/2021 06:54:56	1.136
03/08/2021 06:59:56	1.136
03/08/2021 07:04:56	1.136
03/08/2021 07:09:56	1.136
03/08/2021 07:14:56	1.136
03/08/2021 07:19:56	1.136
03/08/2021 07:24:56	1.136
03/08/2021 07:29:56	1.136
03/08/2021 07:34:56	1.136
03/08/2021 07:39:56	1.136
03/08/2021 07:44:56	1.136
03/08/2021 07:49:56	1.136
03/08/2021 07:54:56	1.136
03/08/2021 07:59:56	1.136
03/08/2021 08:04:56	1.136
03/08/2021 08:09:56	1.136
03/08/2021 08:14:56	1.136
03/08/2021 08:19:56	1.136
03/08/2021 08:24:56	1.136
03/08/2021 08:29:56	1.136
03/08/2021 08:34:56	1.136
03/08/2021 08:39:56	1.136
03/08/2021 08:44:56	1.136
03/08/2021 08:49:56	1.136
03/08/2021 08:54:56	1.136
03/08/2021 08:59:56	1.136
03/08/2021 09:04:56	1.136
03/08/2021 09:09:56	1.136
03/08/2021 09:14:56	1.136
03/08/2021 09:19:56	1.136
03/08/2021 09:24:56	1.136
03/08/2021 09:29:56	1.136
03/08/2021 09:34:56	1.136
03/08/2021 09:39:56	1.136
03/08/2021 09:44:56	1.136
03/08/2021 09:49:56	1.136
03/08/2021 09:54:56	1.136
03/08/2021 09:59:56	1.136
03/08/2021 10:04:56	1.136
03/08/2021 10:09:56	1.136
03/08/2021 10:14:56	1.136
03/08/2021 10:19:56	1.136
03/08/2021 10:24:56	1.136
03/08/2021 10:29:56	1.136
03/08/2021 10:34:56	1.136
03/08/2021 10:39:56	1.136
03/08/2021 10:44:56	1.136
03/08/2021 10:49:56	1.136
03/08/2021 10:54:56	1.136
03/08/2021 10:59:56	1.136
03/08/2021 11:04:56	1.136
03/08/2021 11:09:56	1.136
03/08/2021 11:14:56	1.136
03/08/2021 11:19:56	1.136
03/08/2021 11:24:56	1.136
03/08/2021 11:29:56	1.136
03/08/2021 11:34:56	1.136
03/08/2021 11:39:56	1.136
03/08/2021 11:44:56	1.136
03/08/2021 11:49:56	1.136
03/08/2021 11:54:56	1.136
03/08/2021 11:59:56	1.136
03/08/2021 12:04:56	1.136
03/08/2021 12:09:56	1.136
03/08/2021 12:14:56	1.136
03/08/2021 12:19:56	1.136
03/08/2021 12:24:56	1.136
03/08/2021 12:29:56	1.136
03/08/2021 12:34:56	1.136
03/08/2021 12:39:56	1.136
03/08/2021 12:44:56	1.136
03/08/2021 12:49:56	1.136
03/08/2021 12:54:56	1.136
03/08/2021 12:59:56	1.136
03/08/2021 13:04:56	1.136
03/08/2021 13:09:56	1.136
03/08/2021 13:14:56	1.136
03/08/2021 13:19:56	1.136
03/08/2021 13:24:56	1.136
03/08/2021 13:29:56	1.136
03/08/2021 13:34:56	1.136
03/08/2021 13:39:56	1.136
03/08/2021 13:44:56	1.136
03/08/2021 13:49:56	1.136
03/08/2021 13:54:56	1.136
03/08/2021 13:59:56	1.136
03/08/2021 14:04:56	1.136
03/08/2021 14:09:56	1.136
03/08/2021 14:14:56	1.136
03/08/2021 14:19:56	1.136
03/08/2021 14:24:56	1.136
03/08/2021 14:29:56	1.136
03/08/2021 14:34:56	1.136
03/08/2021 14:39:56	1.136
03/08/2021 14:44:56	1.136
03/08/2021 14:49:56	1.136
03/08/2021 14:54:56	1.136
03/08/2021 14:59:56	1.136
03/08/2021 15:04:56	1.136
03/08/2021 15:09:56	1.136
03/08/2021 15:14:56	1.136
03/08/2021 15:19:56	1.136
03/08/2021 15:24:56	1.136
03/08/2021 15:29:56	1.136
03/08/2021 15:34:56	1.136
03/08/2021 15:39:56	1.136
03/08/2021 15:44:56	1.136
03/08/2021 15:49:56	1.136
03/08/2021 15:54:56	1.136
03/08/2021 15:59:56	1.136
03/08/2021 16:04:56	1.136
03/08/2021 16:09:56	1.136
03/08/2021 16:14:56	1.136
03/08/2021 16:19:56	1.136
03/08/2021 16:24:56	1.136
03/08/2021 16:29:56	1.136
03/08/2021 16:34:56	1.136
03/08/2021 16:39:56	1.136
03/08/2021 16:44:56	1.136
03/08/2021 16:49:56	1.136
03/08/2021 16:54:56	1.136
03/08/2021 16:59:56	1.136
03/08/2021 17:04:56	1.136
03/08/2021 17:09:56	1.136
03/08/2021 17:14:56	1.136
03/08/2021 17:19:56	1.136
03/08/2021 17:24:56	1.136
03/08/2021 17:29:56	1.136
03/08/2021 17:34:56	1.136
03/08/2021 17:39:56	1.136
03/08/2021 17:44:56	1.136
03/08/2021 17:49:56	1.136
03/08/2021 17:54:56	1.136
03/08/2021 17:59:56	1.136
03/08/2021 18:04:56	1.136
03/08/2021 18:09:56	1.136
03/08/2021 18:14:56	1.136
03/08/2021 18:19:56	1.136
03/08/2021 18:24:56	1.136
03/08/2021 18:29:56	1.136
03/08/2021 18:34:56	1.136
03/08/2021 18:39:56	1.136
03/08/2021 18:44:56	1.136
03/08/2021 18:49:56	1.136
03/08/2021 18:54:56	1.136
03/08/2021 18:59:56	1.136
03/08/2021 19:04:56	1.136
03/08/2021 19:09:56	1.136
03/08/2021 19:14:56	1.136
03/08/2021 19:19:56	1.136
03/08/2021 19:24:56	1.136
03/08/2021 19:29:56	1.136
03/08/2021 19:34:56	1.136
03/08/2021 19:39:56	1.136
03/08/2021 19:44:56	1.136
03/08/2021 19:49:56	1.136
03/08/2021 19:54:56	1.136
03/08/2021 19:59:56	1.136
03/08/2021 20:04:56	1.136
03/08/2021 20:09:56	1.136
03/08/2021 20:14:56	1.136
03/08/2021 20:19:56	1.136
03/08/2021 20:24:56	1.136
03/08/2021 20:29:56	1.136
03/08/2021 20:34:56	1.136
03/08/2021 20:39:56	1.136
03/08/2021 20:44:56	1.136
03/08/2021 20:49:56	1.136
03/08/2021 20:54:56	1.136
03/08/2021 20:59:56	1.136
03/08/2021 21:04:56	1.136
03/08/2021 21:09:56	1.136
03/08/2021 21:14:56	1.136
03/08/2021 21:19:56	1.136
03/08/2021 21:24:56	1.136
03/08/2021 21:29:56	1.136
03/08/2021 21:34:56	1.136
03/08/2021 21:39:56	1.136
03/08/2021 21:44:56	1.136
03/08/2021 21:49:56	1.136
03/08/2021 21:54:56	1.136
03/08/2021 21:59:56	1.136
03/08/2021 22:04:56	1.136
03/08/2021 22:09:56	1.136
03/08/2021 22:14:56	1.136
03/08/2021 22:19:56	1.136
03/08/2021 22:24:56	1.136
03/08/2021 22:29:56	1.136
03/08/2021 22:34:56	1.136
03/08/2021 22:39:56	1.136
03/08/2021 22:44:56	1.136
03/08/2021 22:49:56	1.136
03/08/2021 22:54:56	1.136
03/08/2021 22:59:56	1.136
03/08/2021 23:04:56	1.136
03/08/2021 23:09:56	1.136
03/08/2021 23:14:56	1.136
03/08/2021 23:19:56	1.136
03/08/2021 23:24:56	1.136
03/08/2021 23:29:56	1.136
03/08/2021 23:34:56	1.136
03/08/2021 23:39:56	1.136
03/08/2021 23:44:56	1.136
03/08/2021 23:49:56	1.136
03/08/2021 23:54:56	1.136
03/08/2021 23:59:56	1.136
04/08/2021 00:04:56	1.136
04/08/2021 00:09:56	1.136
04/08/2021 00:14:56	1.136
04/08/2021 00:19:56	1.136
04/08/2021 00:24:56	1.136
04/08/2021 00:29:56	1.136
04/08/2021 00:34:56	1.136
04/08/2021 00:39:56	1.136
04/08/2021 00:44:56	1.136
04/08/2021 00:49:56	1.136
04/08/2021 00:54:56	1.136
04/08/2021 00:59:56	1.136
04/08/2021 01:04:56	1.136
04/08/2021 01:09:56	1.136
04/08/2021 01:14:56	1.136
04/08/2021 01:19:56	1.136
04/08/2021 01:24:56	1.136
04/08/2021 01:29:56	1.136
04/08/2021 01:34:56	1.136
04/08/2021 01:39:56	1.136
04/08/2021 01:44:56	1.136
04/08/2021 01:49:56	1.136
04/08/2021 01:54:56	1.136
04/08/2021 01:59:56	1.136
04/08/2021 02:04:56	1.136
04/08/2021 02:09:56	1.136
04/08/2021 02:14:56	1.136
04/08/2021 02:19:56	1.136
04/08/2021 02:24:56	1.136
04/08/2021 02:29:56	1.136
04/08/2021 02:34:56	1.136
04/08/2021 02:39:56	1.136
04/08/2021 02:44:56	1.136
04/08/2021 02:49:56	1.136
04/08/2021 02:54:56	1.136
04/08/2021 02:59:56	1.136
04/08/2021 03:04:56	1.136
04/08/2021 03:09:56	1.136
04/08/2021 03:14:56	1.136
04/08/2021 03:19:56	1.136
04/08/2021 03:24:56	1.136
04/08/2021 03:29:56	1.136
04/08/2021 03:34:56	1.136
04/08/2021 03:39:56	1.136
04/08/2021 03:44:56	1.136
04/08/2021 03:49:56	1.136
04/08/2021 03:54:56	1.136
04/08/2021 03:59:56	1.136
04/08/2021 04:04:56	1.136
04/08/2021 04:09:56	1.136
04/08/2021 04:14:56	1.136
04/08/2021 04:19:56	1.136
04/08/2021 04:24:56	1.136
04/08/2021 04:29:56	1.136
04/08/2021 04:34:56	1.136
04/08/2021 04:39:56	1.136
04/08/2021 04:44:56	1.136
04/08/2021 04:49:56	1.136
04/08/2021 04:54:56	1.136
04/08/2021 04:59:56	1.136
04/08/2021 05:04:56	1.136
04/08/2021 05:09:56	1.136
04/08/2021 05:14:56	1.136
04/08/2021 05:19:56	1.136
04/08/2021 05:24:56	1.136
04/08/2021 05:29:56	1.136
04/08/2021 05:34:56	1.136
04/08/2021 05:39:56	1.136
04/08/2021 05:44:56	1.136
04/08/2021 05:49:56	1.136
04/08/2021 05:54:56	1.136
04/08/2021 05:59:56	1.136
04/08/2021 06:04:56	1.136
04/08/2021 06:09:56	1.136
04/08/2021 06:14:56	1.136
04/08/2021 06:19:56	1.136
04/08/2021 06:24:56	1.136
04/08/2021 06:29:56	1.136
04/08/2021 06:34:56	1.136
04/08/2021 06:39:56	1.136
04/08/2021 06:44:56	1.136
04/08/2021 06:49:56	1.136
04/08/2021 06:54:56	1.136
04/08/2021 06:59:56	1.136
04/08/2021 07:04:56	1.136
04/08/2021 07:09:56	1.136
04/08/2021 07:14:56	1.136
04/08/2021 07:19:56	1.136
04/08/2021 07:24:56	1.136
04/08/2021 07:29:56	1.136
04/08/2021 07:34:56	1.136
04/08/2021 07:39:56	1.136
04/08/2021 07:44:56	1.136
04/08/2021 07:49:56	1.136
04/08/2021 07:54:56	1.136
04/08/2021 07:59:56	1.136
04/08/2021 08:04:56	1.136
04/08/2021 08:09:56	1.136
04/08/2021 08:14:56	1.136
04/08/2021 08:19:56	1.136
04/08/2021 08:24:56	1.136
04/08/2021 08:29:56	1.136
04/08/2021 08:34:56	1.136
04/08/2021 08:39:56	1.136
04/08/2021 08:44:56	1.136
04/08/2021 08:49:56	1.136
04/08/2021 08:54:56	1.136
04/08/2021 08:59:56	1.136
04/08/2021 09:04:56	1.136
04/08/2021 09:09:56	1.136
04/08/2021 09:14:56	2.271
04/08/2021 09:19:56	5.678
04/08/2021 09:24:56	10.220
04/08/2021 09:29:56	11.356
04/08/2021 09:34:56	11.356
04/08/2021 09:39:56	11.356
04/08/2021 09:44:56	11.356
04/08/2021 09:49:56	11.356
04/08/2021 09:54:56	12.491
04/08/2021 09:59:56	12.491
04/08/2021 10:04:56	12.491
